chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,class_DC
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/AxisLocationTest.java,AxisLocationTest.java,79,47,0.5949367088607594,3,0.19831223628691982
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/AxisSpaceTest.java,AxisSpaceTest.java,96,52,0.5416666666666666,3,0.18055555555555555
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/CategoryLabelPositionsTest.java,CategoryLabelPositionsTest.java,161,47,0.2919254658385093,3,0.09730848861283643
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/ValueAxisTest.java,ValueAxisTest.java,214,74,0.34579439252336447,3,0.11526479750778816
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/DateAxisTest.java,DateAxisTest.java,1059,207,0.1954674220963173,4,0.04886685552407932
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/CategoryLabelPositionTest.java,CategoryLabelPositionTest.java,133,47,0.3533834586466165,3,0.11779448621553884
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/SubCategoryAxisTest.java,SubCategoryAxisTest.java,136,58,0.4264705882352941,5,0.08529411764705883
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/ExtendedCategoryAxisTest.java,ExtendedCategoryAxisTest.java,137,58,0.4233576642335766,3,0.1411192214111922
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/StandardTickUnitSourceTest.java,StandardTickUnitSourceTest.java,63,44,0.6984126984126984,3,0.2328042328042328
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/axis/CategoryLabelWidthTypeTest.java,CategoryLabelWidthTypeTest.java,76,47,0.618421052631579,3,0.20614035087719298
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/BarChartTest.java,BarChartTest.java,165,74,0.4484848484848485,3,0.1494949494949495
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/api/RectangleAlignmentTest.java,RectangleAlignmentTest.java,94,41,0.43617021276595747,3,0.14539007092198583
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/MeterChartTest.java,MeterChartTest.java,69,47,0.6811594202898551,3,0.22705314009661837
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/text/format/LogFormatTest.java,LogFormatTest.java,103,50,0.4854368932038835,3,0.16181229773462782
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/text/format/HMSNumberFormatTest.java,HMSNumberFormatTest.java,54,38,0.7037037037037037,3,0.23456790123456792
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/text/format/RelativeDateFormatTest.java,RelativeDateFormatTest.java,191,64,0.33507853403141363,3,0.11169284467713787
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/TimeSeriesChartTest.java,TimeSeriesChartTest.java,153,71,0.46405228758169936,3,0.15468409586056645
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/JFreeChartTest.java,JFreeChartTest.java,409,117,0.2860635696821516,13,0.02200488997555012
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/LineChartTest.java,LineChartTest.java,163,75,0.4601226993865031,3,0.15337423312883436
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/XYStepAreaChartTest.java,XYStepAreaChartTest.java,152,71,0.46710526315789475,3,0.15570175438596492
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/block/GridArrangementTest.java,GridArrangementTest.java,268,92,0.34328358208955223,3,0.1144278606965174
/Users/leo/Documents/1_Code_Project/jfreechart/src/test/java/org/jfree/chart/block/BorderArrangementTest.java,BorderArrangementTest.java,711,189,0.26582278481012656,3,0.08860759493670885
